entry_time,exit_time,side,quantity,entry,exit,net_pnl,reason,entry_effective_stop,entry_effective_risk_fraction
2022-03-24 16:00:00+00:00,2022-03-28 18:00:00+00:00,1,2.0220000000000002,3114.29,3407.2244436241613,595.155985904763,target,3016.645185458613,0.019995665275468442
2022-03-28 19:00:00+00:00,2022-03-28 23:00:00+00:00,1,2.336,3416.76,3327.424393282301,-211.8388602410868,stop,3327.424393282301,0.0199978743227962
2022-03-29 12:00:00+00:00,2022-03-29 16:00:00+00:00,1,2.17,3464.54,3370.2589073967206,-206.800724665114,stop,3370.2589073967206,0.01999334019722981
2022-04-02 01:00:00+00:00,2022-04-05 23:00:00+00:00,1,1.7730000000000001,3512.54,3399.179978511593,-203.2366138400264,stop,3399.179978511593,0.019994898396368633
2022-04-25 01:00:00+00:00,2022-04-25 16:00:00+00:00,-1,2.918,2856.69,2923.8884978669766,-200.4698102606548,stop,2923.8884978669766,0.0199953826223353
2022-05-01 00:00:00+00:00,2022-05-01 15:00:00+00:00,-1,2.4,2727.35,2807.6959889475775,-195.07971094943434,stop,2807.6959889475775,0.019999225395378666
2022-05-07 22:00:00+00:00,2022-05-09 10:00:00+00:00,-1,2.552,2622.03,2400.0554183061536,569.3953858496967,target,2696.0215272312826,0.019994606279431355
2022-05-09 11:00:00+00:00,2022-05-11 20:00:00+00:00,-1,1.937,2377.13,2065.8093570313226,603.9042733098117,target,2480.903547656226,0.01999099736171715
2022-05-11 21:00:00+00:00,2022-05-31 21:00:00+00:00,-1,0.903,2041.79,1953.88,74.63351692797049,anchor_or_timeout,2278.835711538387,0.019978529830481023
2022-06-10 17:00:00+00:00,2022-06-12 02:00:00+00:00,-1,3.1630000000000003,1681.41,1478.1308754729992,640.7658536773241,target,1749.169708175667,0.01999427361201316
2022-06-12 03:00:00+00:00,2022-06-12 15:00:00+00:00,-1,2.614,1452.71,1539.833991191706,-229.33088915777608,stop,1539.833991191706,0.0199941115615503
2022-06-13 01:00:00+00:00,2022-06-14 01:00:00+00:00,-1,2.3770000000000002,1386.79,1104.8163267219666,668.4938628870706,target,1480.781224426011,0.01999944222803304
2022-06-14 02:00:00+00:00,2022-06-14 05:00:00+00:00,-1,1.72,1101.81,1239.7703756832125,-238.09734982436058,stop,1239.7703756832125,0.019994796232533144
2022-06-15 09:00:00+00:00,2022-06-15 18:00:00+00:00,-1,1.739,1029.11,1162.8537342521859,-233.2448867980778,stop,1162.8537342521859,0.019995397845708765
2022-06-18 18:00:00+00:00,2022-06-19 10:00:00+00:00,-1,3.007,962.57,1038.2127250466713,-230.2455120507274,stop,1038.2127250466713,0.01999391763824806
2022-07-28 16:00:00+00:00,2022-08-01 17:00:00+00:00,1,2.227,1728.44,1628.5130879350615,-224.03103337960954,stop,1628.5130879350615,0.019999717699616802
2022-08-08 12:00:00+00:00,2022-08-09 09:00:00+00:00,1,4.43,1789.43,1740.578479425614,-218.51587000039274,stop,1740.578479425614,0.019998509682807166
2022-08-10 13:00:00+00:00,2022-08-14 07:00:00+00:00,1,3.075,1822.77,2030.5242316450463,644.8609550971931,target,1753.5185894516512,0.01999637058352095
2022-08-29 00:00:00+00:00,2022-08-29 12:00:00+00:00,-1,4.053,1426.47,1482.1762439752454,-229.1836823334349,stop,1482.1762439752454,0.019996811288950863
