entry_time,exit_time,side,quantity,entry,exit,net_pnl,reason,flip_time,flip_price
2022-03-27 21:00:00+00:00,2022-03-27 22:00:00+00:00,1,0.216,46122.6,46844.5,151.9142212800003,new_ath,,
2022-03-28 14:00:00+00:00,2022-03-28 15:00:00+00:00,1,0.198,47720.9,47758.2,3.604427639999135,new_ath,,
2022-03-28 19:00:00+00:00,2022-04-18 04:00:00+00:00,1,0.189,47971.2,38949.256979287136,-1719.2083253434507,stop,2022-04-12 08:00:00+00:00,40173.5
2022-04-18 05:00:00+00:00,2022-04-18 13:00:00+00:00,-1,0.212,38830.5,39609.7042760806,-168.53185154938282,stop,2022-04-12 08:00:00+00:00,40173.5
2022-04-25 08:00:00+00:00,2022-04-25 14:00:00+00:00,-1,0.185,38445.5,39319.964102653394,-164.653181162676,stop,2022-04-12 08:00:00+00:00,40173.5
2022-05-01 00:00:00+00:00,2022-05-01 15:00:00+00:00,-1,0.199,37630.5,38426.957621756395,-161.5585510556872,stop,2022-04-12 08:00:00+00:00,40173.5
2022-05-05 16:00:00+00:00,2022-05-08 17:00:00+00:00,-1,0.146,36900.0,33685.7830346579,468.0721750511927,target,2022-04-12 08:00:00+00:00,40173.5
2022-05-08 18:00:00+00:00,2022-05-09 17:00:00+00:00,-1,0.169,34075.1,31130.320282364486,498.1505313196638,target,2022-04-12 08:00:00+00:00,40173.5
2022-05-09 18:00:00+00:00,2022-05-12 04:00:00+00:00,-1,0.125,31274.9,27042.46827917733,528.2529662035688,target,2022-04-12 08:00:00+00:00,40173.5
2022-06-12 03:00:00+00:00,2022-06-12 15:00:00+00:00,-1,0.201,27417.9,28344.37983929957,-187.8197832306269,stop,2022-04-12 08:00:00+00:00,40173.5
2022-06-13 00:00:00+00:00,2022-06-13 13:00:00+00:00,-1,0.176,26582.3,23465.757249253988,546.8531538690705,target,2022-04-12 08:00:00+00:00,40173.5
2022-06-13 15:00:00+00:00,2022-06-18 20:00:00+00:00,-1,0.12,22805.1,17970.172280001934,577.7613109864691,target,2022-04-12 08:00:00+00:00,40173.5
2022-06-18 21:00:00+00:00,2022-06-18 22:00:00+00:00,-1,0.184,17811.9,18927.02533839225,-206.53505471662655,stop,2022-04-12 08:00:00+00:00,40173.5
2022-08-11 13:00:00+00:00,2022-08-26 16:00:00+00:00,1,0.296,24857.3,20614.666097025864,-1255.132722648836,stop,2022-08-19 20:00:00+00:00,21277.5
2022-08-27 00:00:00+00:00,2022-09-07 18:00:00+00:00,-1,0.295,20236.5,19158.241749302706,314.46603357175513,stop,2022-08-19 20:00:00+00:00,21277.5
2022-09-19 06:00:00+00:00,2022-09-19 13:00:00+00:00,-1,0.339,18458.6,18994.323953926596,-183.63709986892425,stop,2022-08-19 20:00:00+00:00,21277.5
2022-11-04 15:00:00+00:00,2022-11-09 21:00:00+00:00,1,0.422,21218.6,15898.843996212263,-2251.804857503273,stop,2022-11-09 16:00:00+00:00,17086.1
2022-11-09 22:00:00+00:00,2022-11-10 13:00:00+00:00,-1,0.10300000000000001,15721.4,17032.621999204264,-138.65843356429232,stop,2022-11-09 16:00:00+00:00,17086.1
2023-01-12 18:00:00+00:00,2023-01-14 09:00:00+00:00,1,0.304,18846.9,20539.3,512.7841922325555,trail_exit,,
2023-01-20 21:00:00+00:00,2023-01-22 11:00:00+00:00,1,0.272,22289.0,22787.1,132.25033031848398,trail_exit,,
2023-01-25 22:00:00+00:00,2023-02-16 21:00:00+00:00,1,0.242,23599.9,24543.5,201.18346653891172,trail_exit,,
2023-03-09 19:00:00+00:00,2023-03-10 10:00:00+00:00,-1,0.333,21012.8,19688.005622132492,438.46525950275253,target,,
2023-03-10 11:00:00+00:00,2023-03-10 13:00:00+00:00,-1,0.259,19625.2,20229.252556465628,-158.51407276702238,stop,,
2023-03-17 11:00:00+00:00,2023-03-22 18:00:00+00:00,1,0.159,26696.4,28026.2,211.275987468504,trail_exit,,
2023-03-30 03:00:00+00:00,2023-04-12 02:00:00+00:00,1,0.211,28970.3,29915.9,194.07668319543487,trail_exit,,
2023-04-14 01:00:00+00:00,2023-05-29 00:00:00+00:00,1,0.266,30756.0,28361.305378925674,-671.179854167629,target,2023-05-12 08:00:00+00:00,26288.4
2023-06-14 21:00:00+00:00,2023-06-15 19:00:00+00:00,-1,0.297,24937.1,25432.476819845026,-150.67947880891234,stop,2023-05-12 08:00:00+00:00,26288.4
2023-06-21 16:00:00+00:00,2023-06-24 00:00:00+00:00,1,0.183,29857.8,30494.0,111.09027972892991,trail_exit,,
2023-07-13 20:00:00+00:00,2023-08-02 01:00:00+00:00,1,0.23600000000000002,31621.0,29877.539812824456,-428.4883168289176,target,2023-08-01 04:00:00+00:00,28870.3
2023-08-17 16:00:00+00:00,2023-08-17 21:00:00+00:00,-1,0.252,27928.1,26747.45811734566,294.7661062997788,target,2023-08-01 04:00:00+00:00,28870.3
2023-08-17 22:00:00+00:00,2023-08-29 14:00:00+00:00,-1,0.16,26184.7,27089.947189566126,-147.96134534850307,stop,2023-08-01 04:00:00+00:00,28870.3
2023-10-02 14:00:00+00:00,2023-10-16 05:00:00+00:00,1,0.251,28568.1,27754.11145016655,-209.7963612803761,target,2023-10-14 12:00:00+00:00,26899.4
2023-10-23 04:00:00+00:00,2023-10-23 22:00:00+00:00,1,0.227,30738.4,33378.8,595.7559436966555,trail_exit,,
2023-10-23 23:00:00+00:00,2023-11-09 15:00:00+00:00,1,0.111,33378.8,37130.1,393.2763598577994,trail_exit,,
2023-12-01 10:00:00+00:00,2023-12-03 12:00:00+00:00,1,0.20500000000000002,38711.6,39406.3,135.89001307961786,trail_exit,,
2023-12-03 23:00:00+00:00,2023-12-05 07:00:00+00:00,1,0.202,40086.3,41529.9,283.21100247735905,trail_exit,,
2023-12-05 17:00:00+00:00,2023-12-07 08:00:00+00:00,1,0.181,42714.0,43595.9,150.38427910248265,trail_exit,,
2024-01-02 01:00:00+00:00,2024-01-09 21:00:00+00:00,1,0.184,45161.1,48195.2,534.5127632994007,new_ath,,
2024-01-11 15:00:00+00:00,2024-01-22 18:00:00+00:00,1,0.094,48573.5,40333.58978875689,-787.4472890128765,stop,2024-01-22 08:00:00+00:00,40967.4
2024-01-23 10:00:00+00:00,2024-01-24 00:00:00+00:00,-1,0.151,38967.6,40044.27889267703,-163.95455949196457,stop,2024-01-22 08:00:00+00:00,40967.4
2024-02-11 04:00:00+00:00,2024-02-12 15:00:00+00:00,1,0.167,48540.0,49000.0,67.91150180465854,new_ath,,
2024-02-12 16:00:00+00:00,2024-02-12 17:00:00+00:00,1,0.154,49938.8,49984.0,3.883177759999551,new_ath,,
2024-02-14 09:00:00+00:00,2024-02-14 11:00:00+00:00,1,0.137,50791.5,51719.2,124.28610681999962,new_ath,,
2024-02-14 15:00:00+00:00,2024-02-15 00:00:00+00:00,1,0.126,51938.1,52099.1,14.478625712072304,new_ath,,
2024-02-15 01:00:00+00:00,2024-02-15 14:00:00+00:00,1,0.13,52334.8,52565.3,26.437937929272685,new_ath,,
2024-02-15 15:00:00+00:00,2024-02-20 13:00:00+00:00,1,0.131,52616.4,52881.3,14.041763248543152,new_ath,,
2024-02-26 17:00:00+00:00,2024-02-26 19:00:00+00:00,1,0.156,53412.8,53658.0,34.910591039999545,new_ath,,
2024-02-26 20:00:00+00:00,2024-02-27 01:00:00+00:00,1,0.154,54523.7,54964.9,61.154689115062475,new_ath,,
2024-02-27 02:00:00+00:00,2024-02-27 19:00:00+00:00,1,0.146,55825.5,57641.4,252.61339702043824,new_ath,,
2024-02-28 08:00:00+00:00,2024-02-28 13:00:00+00:00,1,0.116,58261.8,59550.0,146.69796623999966,new_ath,,
2024-02-28 14:00:00+00:00,2024-02-28 15:00:00+00:00,1,0.097,60512.0,61277.8,71.91987788000029,new_ath,,
2024-02-28 17:00:00+00:00,2024-03-04 08:00:00+00:00,1,0.085,62514.1,64480.3,119.29992509240077,new_ath,,
2024-03-04 09:00:00+00:00,2024-03-04 14:00:00+00:00,1,0.109,65327.4,65693.5,37.04864437999984,new_ath,,
2024-03-04 15:00:00+00:00,2024-03-04 16:00:00+00:00,1,0.097,66172.2,66649.0,39.18167061425697,new_ath,,
2024-03-04 18:00:00+00:00,2024-03-04 20:00:00+00:00,1,0.091,66905.6,67621.7,62.716703139999204,new_ath,,
2024-03-04 23:00:00+00:00,2024-03-05 01:00:00+00:00,1,0.08600000000000001,67972.0,68599.0,47.788901993022776,new_ath,,
2024-03-11 08:00:00+00:00,2024-03-11 09:00:00+00:00,1,0.099,71208.0,71888.8,64.5658833600003,new_ath,,
2024-03-11 10:00:00+00:00,2024-03-11 11:00:00+00:00,1,0.098,71888.9,71978.9,6.00019112,new_ath,,
2024-03-13 09:00:00+00:00,2024-03-14 04:00:00+00:00,1,0.089,73468.2,73672.0,12.288909747798154,new_ath,,
