entry_time,exit_time,side,quantity,entry,exit,net_pnl,reason,flip_time,flip_price
2022-03-27 21:00:00+00:00,2022-03-27 22:00:00+00:00,1,0.215,46136.436779999996,46830.44665,139.21818208127536,new_ath,,
2022-03-28 14:00:00+00:00,2022-03-28 15:00:00+00:00,1,0.189,47735.21627,47743.87254,-7.386738862545095,new_ath,,
2022-03-28 19:00:00+00:00,2022-04-18 04:00:00+00:00,1,0.181,47985.59136,38937.572202193354,-1655.8774091512935,stop,2022-04-12 08:00:00+00:00,40173.5
2022-04-18 05:00:00+00:00,2022-04-18 13:00:00+00:00,-1,0.20400000000000001,38818.85085,39609.93454261842,-169.3949357873837,stop,2022-04-12 08:00:00+00:00,40173.5
2022-04-25 08:00:00+00:00,2022-04-25 13:00:00+00:00,-1,0.179,38433.96635,39320.22298178919,-165.59893703546024,stop,2022-04-12 08:00:00+00:00,40173.5
2022-05-01 00:00:00+00:00,2022-05-01 15:00:00+00:00,-1,0.192,37619.21085,38427.19317229792,-162.46817786563813,stop,2022-04-12 08:00:00+00:00,40173.5
2022-05-05 16:00:00+00:00,2022-05-09 02:00:00+00:00,-1,0.14200000000000002,36888.93,33684.8154485683,451.31680544737327,target,2022-04-12 08:00:00+00:00,40173.5
2022-05-09 03:00:00+00:00,2022-05-09 23:00:00+00:00,-1,0.149,33504.74556,30263.07625559032,480.092505046916,target,2022-04-12 08:00:00+00:00,40173.5
2022-05-10 00:00:00+00:00,2022-05-10 05:00:00+00:00,-1,0.1,30067.9769,31820.19749005407,-178.31646772490956,stop,2022-04-12 08:00:00+00:00,40173.5
2022-05-11 13:00:00+00:00,2022-05-11 14:00:00+00:00,-1,0.075,29313.303369999998,31582.66201994615,-172.4854974480844,stop,2022-04-12 08:00:00+00:00,40173.5
2022-05-11 21:00:00+00:00,2022-05-15 20:00:00+00:00,-1,0.063,28471.15609,31140.030488817192,-173.980568621106,stop,2022-04-12 08:00:00+00:00,40173.5
2022-06-12 03:00:00+00:00,2022-06-12 15:00:00+00:00,-1,0.17400000000000002,27409.67463,28344.65531564036,-166.97950674025554,stop,2022-04-12 08:00:00+00:00,40173.5
2022-06-13 00:00:00+00:00,2022-06-13 13:00:00+00:00,-1,0.153,26574.32531,23464.819894021763,472.0161531672489,target,2022-04-12 08:00:00+00:00,40173.5
2022-06-13 15:00:00+00:00,2022-06-18 20:00:00+00:00,-1,0.105,22798.25847,17968.719749226937,503.691316555906,target,2022-04-12 08:00:00+00:00,40173.5
